studyid,class,n,mean_change,sd_change,source
Fonagy 2019,Cognitive and cognitive behavioural therapies individual,20,-5.92,6.63144780572086,baseline_followup
Fonagy 2019,Self-help with support,54,-4.08,8.84218864309058,baseline_followup
Fonagy 2019,Short-term psychodynamic psychotherapies individual,73,-8.15,6.94283083475321,baseline_followup
Forest Laboratories 2000,Placebo,125,-11.2,10.35,change_from_baseline
Forest Laboratories 2000,SSRIs,243,-25.900000000000002,14.015883846550668,change_from_baseline
Forest Laboratories 2010,Placebo,215,-8.5,8.8,change_from_baseline
Forest Laboratories 2010,SSRIs,637,-23.1,13.936818144755996,change_from_baseline
Forest Research Institute 2003,Placebo,151,-10,10.57,change_from_baseline
Forest Research Institute 2003,SSRIs,143,-13.3,10.62,change_from_baseline
Forest Research Institute 2005,Placebo,132,-12.4,10.34,change_from_baseline
Forest Research Institute 2005,SSRIs,266,-32.5,14.67997275201831,change_from_baseline
Forlenza 2001,SSRIs,27,-15.85,11.89,change_from_baseline
Forlenza 2001,TCAs,28,-15.03,10.46,change_from_baseline
Freed 1999,SSRIs,149,-17.7,9.0509281292031,baseline_followup
Freed 1999,TCAs,157,-15.08,9.43473900009958,baseline_followup
Fu 2003,Acupuncture,32,-23.9,6.39296488336984,baseline_followup
Fu 2003,SSRIs,30,-20.9,6.19919349593155,baseline_followup
Fudge 1990,SSRIs,17,-14.8,7.97746827007165,baseline_followup
Fudge 1990,Trazodone,15,-17.1,4.43959457608462,baseline_followup
GSK_29060/103,SSRIs,45,-17.8,10.73,change_from_baseline
GSK_29060/103,TCAs,36,-17.1,9.6,change_from_baseline
Gater 2010,Any AD,42,-1,6.95053954740206,baseline_followup
Gater 2010,Peer support group,39,-5,4.58257569495584,baseline_followup
Gater 2010,Peer support group + AD,42,-5.7,5.502726596879041,baseline_followup
Gentil 2000,SNRIs,57,-14.0073233346625,3,binary_response_converted
Gentil 2000,TCAs,59,-14.0073233346625,3.2,binary_response_converted
Georgotas 1982,Placebo,18,-11.2,8.82661883169314,baseline_followup
Georgotas 1982,TCAs,15,-20,7.2538058975961,baseline_followup
Godlewska 2012,Placebo,21,-3.3,4.4034077712608,baseline_followup
Godlewska 2012,SSRIs,21,-4.4,6.99070811863863,baseline_followup
Golden 2002_448,Placebo,101,-9.9,8.04,change_from_baseline
Golden 2002_448,SSRIs,206,-23.799999999999997,11.55482583166012,change_from_baseline
Golden 2002_449,Placebo,110,-10.2,8.18,change_from_baseline
Golden 2002_449,SSRIs,218,-25.4,11.58949955778937,change_from_baseline
Goldstein 2002,Placebo,70,-45.01,6.3867060418544,baseline_followup
Goldstein 2002,SNRIs,70,-46.53,5.79613322668195,baseline_followup
Goldstein 2002,SSRIs,33,-43.55,5.96620819925158,baseline_followup
Goldstein 2004,Placebo,89,-14.0073233346625,5.08,binary_response_converted
Goldstein 2004,SNRIs,91,-14.0073233346625,4.66,binary_response_converted
Goldstein 2004,SSRIs,87,-14.0073233346625,5.19,binary_response_converted
Gual 2003,Placebo,39,-14.0073233346625,8,binary_response_converted
Gual 2003,SSRIs,44,-14.0073233346625,6.9,binary_response_converted
