study,treatment,mean,std.dev,sampleSize
Nezu 1989,trt_032,-5.147239411092384,1,28
Nezu 1989,trt_048,-0.3829521998879512,1,11
Nierenberg 2007,trt_031,-0.8801060203738157,1,137
Nierenberg 2007,trt_038,-1.1218771884497047,1,273
Nierenberg 2007,trt_039,-1.0643828253097067,1,274
Noguera 1991,trt_039,-3.6949235391547806,1,60
Noguera 1991,trt_046,-3.6642856988632815,1,60
Nyth 1992,trt_031,-0.704688507282178,1,45
Nyth 1992,trt_039,-1.3778237978203778,1,88
Owens 2008,trt_038,-1.967070188788783,1,41
Owens 2008,trt_039,-1.8988481013163394,1,40
Ozdemir 2015,trt_024,-4.168380578902604,1,25
Ozdemir 2015,trt_038,-3.775006914999544,1,25
PAR 01 001 (GSK & FDA),trt_031,-1.42875157629256,1,21
PAR 01 001 (GSK & FDA),trt_039,-1.6847414880201763,1,22
Paslakis 2010,trt_026,-2.38919343806557,1,37
Paslakis 2010,trt_038,-2.5350983808482006,1,33
Perahia 2006,trt_031,-7.437234122831445,1,99
Perahia 2006,trt_039,-7.553214382056887,1,97
Philipp 1999,trt_031,-1.6506726197288393,1,46
Philipp 1999,trt_046,-1.937152991747894,1,105
Preskorn 1991,trt_039,-1.4485206048262709,1,29
Preskorn 1991,trt_046,-1.1330012651611425,1,31
Qu 2013,trt_002,-3.946009235463132,1,100
Qu 2013,trt_039,-1.4963055154608522,1,43
Quah-Smith 2005,trt_001,-2.6752504343659718,1,14
Quah-Smith 2005,trt_042,-1.1299194381173048,1,12
Quah-Smith 2013,trt_001,-2.3055858534307623,1,25
Quah-Smith 2013,trt_042,-1.3570356258267946,1,22
Quilty 2014,trt_003,-1.4312833819248414,1,50
Quilty 2014,trt_010,-1.525195049754661,1,54
Rapaport 2009,trt_031,-1.1048878149501264,1,178
Rapaport 2009,trt_039,-1.5118860383102857,1,173
Raskin 2007,trt_031,-6.692542454487774,1,104
Raskin 2007,trt_038,-7.106796647841185,1,207
